StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 18:14,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,On the couch/chair,,Other (please specify),Elsewhere away from home,,,,,,,,,,Night working/very different sleeping times,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 18:13,7/9/14 18:14,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:13,7/9/14 18:16,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 18:13,7/9/14 18:14,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central
7/9/14 18:13,7/9/14 18:14,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,> 60,"$0 - $24,999",Some college or Associate degree,Mountain
7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$0 - $24,999",Bachelor degree,South Atlantic
7/9/14 18:12,7/9/14 18:14,Married,16-20 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly agree,Somewhat disagree,Neither agree nor disagree,Sales and Related Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
7/9/14 18:12,7/9/14 18:13,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,Within 11-15 years of our relationship,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Office and Administrative Support Occupations,,Male,45-60,"$150,000+",Graduate degree,South Atlantic
7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,,Bachelor degree,South Atlantic
7/9/14 18:12,7/9/14 18:14,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,Not enough space,,,,Other (please specify),After 20 years of our relationship,Somewhat disagree,Strongly agree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,,Female,> 60,,Some college or Associate degree,Middle Atlantic
7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:12,7/9/14 18:15,Married,More than 20 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,Other (please specify),retired,Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic
7/9/14 18:10,7/9/14 18:12,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic
7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 11-15 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:12,7/9/14 18:13,"Single, but cohabiting with a significant other",11-15 years,Never,,,,,,,,,,,,,,,,,,,,Food Preparation and Serving Related Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 18:12,7/9/14 18:13,Married,More than 20 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Somewhat disagree,Somewhat agree,Somewhat disagree,"Life, Physical, and Social Science Occupations",,,,,,
7/9/14 18:11,7/9/14 18:12,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Personal Care and Service Occupations,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
7/9/14 18:11,7/9/14 18:12,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Housekeeping supervisor,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain
7/9/14 18:11,7/9/14 18:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 18:11,7/9/14 18:12,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 18:11,7/9/14 18:13,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
7/9/14 18:11,7/9/14 18:11,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 18:11,7/9/14 18:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:11,7/9/14 18:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
7/9/14 18:11,7/9/14 18:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
7/9/14 18:10,7/9/14 18:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,,,,,
7/9/14 18:10,7/9/14 18:11,Divorced,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 18:10,7/9/14 18:13,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 18:10,7/9/14 18:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 18:10,7/9/14 18:12,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,,,,,,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Other (please specify),stay at home mom,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:10,7/9/14 18:10,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),goverment,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic
7/9/14 18:09,7/9/14 18:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central
7/9/14 18:09,7/9/14 18:11,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 18:09,7/9/14 18:11,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:09,7/9/14 18:09,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,45-60,"$150,000+",Graduate degree,Pacific
7/9/14 18:09,7/9/14 18:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Female,45-60,,Graduate degree,Pacific
7/9/14 18:09,7/9/14 18:10,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Homemaker,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:09,7/9/14 18:10,Married,More than 20 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,After 20 years of our relationship,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 18:08,7/9/14 18:10,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,> 60,,Bachelor degree,Middle Atlantic
7/9/14 18:08,7/9/14 18:10,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Architecture and Engineering Occupations,,Female,30-44,"$150,000+",Graduate degree,South Atlantic
7/9/14 18:08,7/9/14 18:10,"Single, but cohabiting with a significant other",11-15 years,A few times per month,On the couch/chair,,"Shared bedroom, different bed",,One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 18:08,7/9/14 18:09,In a domestic partnership or civil union,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,> 60,,Graduate degree,East North Central
7/9/14 18:08,7/9/14 18:09,In a domestic partnership or civil union,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Female,> 60,"$100,000 - $149,999",Graduate degree,New England
7/9/14 18:08,7/9/14 18:09,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Female,45-60,,Bachelor degree,Middle Atlantic
7/9/14 18:07,7/9/14 18:10,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,We've had an argument or fight,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Management Occupations,,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 18:07,7/9/14 18:08,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$100,000 - $149,999",Bachelor degree,New England
7/9/14 18:07,7/9/14 18:08,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Environmental Consulting,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 18:07,7/9/14 18:08,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,,,,,
7/9/14 18:07,7/9/14 18:08,Married,More than 20 years,Once a year or less,On the couch/chair,,On the couch/chair,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 18:07,7/9/14 18:07,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
7/9/14 18:06,7/9/14 18:07,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,"$50,000 - $99,999",High school degree,West North Central
7/9/14 18:06,7/9/14 18:07,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 18:06,7/9/14 18:07,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,,,,,
7/9/14 18:06,7/9/14 18:07,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),unemployed,Female,45-60,"$150,000+",Graduate degree,East North Central
7/9/14 18:06,7/9/14 18:12,Married,11-15 years,A few times per month,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",,Female,45-60,"$150,000+",High school degree,Pacific
7/9/14 18:06,7/9/14 18:10,"Single, but cohabiting with a significant other",1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),Physical Service / Trade - Dog Grooming,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,New England
7/9/14 18:06,7/9/14 18:07,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,> 60,"$50,000 - $99,999",High school degree,East South Central
7/9/14 18:06,7/9/14 18:06,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
7/9/14 18:01,7/9/14 18:06,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 18:05,7/9/14 18:06,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,,,,,
7/9/14 18:05,7/9/14 18:08,Married,More than 20 years,A few times per week,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Mountain
7/9/14 18:05,7/9/14 18:09,Married,16-20 years,Once a year or less,Separate bedroom,,On the couch/chair,,,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Personal Care and Service Occupations,,Female,45-60,"$0 - $24,999",Some college or Associate degree,West North Central
7/9/14 18:05,7/9/14 18:06,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
7/9/14 18:05,7/9/14 18:06,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,,,,,
7/9/14 18:05,7/9/14 18:05,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,45-60,,Some college or Associate degree,Pacific
