person,dept,eow,cause
Deputy George R. Davis,"Mendocino County Sheriff's Office, CA","EOW: Friday, April 14, 1995",Cause of Death: Gunfire
Officer Timothy B. Howe,"Oakland Unified School District Police Department, CA","EOW: Friday, April 14, 1995",Cause of Death: Gunfire
Lance Corporal Michael Allen Chappell,"South Carolina Highway Patrol, SC","EOW: Monday, April 17, 1995",Cause of Death: Automobile accident
Assistant SAC Alan G. Whicher,"United States Department of the Treasury - United States Secret Service, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Senior Special Agent Paul Douglas Ice,"United States Department of the Treasury - Customs Service - Office of Investigations, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Senior Special Agent Claude Arthur Medearis,"United States Department of the Treasury - Customs Service - Office of Investigations, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Special Agent Mickey B. Maroney,"United States Department of the Treasury - United States Secret Service, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Special Agent Donald R. Leonard,"United States Department of the Treasury - United States Secret Service, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Special Agent Cynthia Campbell Brown,"United States Department of the Treasury - United States Secret Service, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Special Agent Paul Gregory Broxterman,"United States Department of Housing and Urban Development - Office of Inspector General, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Special Agent Kenneth G. McCullough,"United States Department of Justice - Drug Enforcement Administration, US","EOW: Wednesday, April 19, 1995",Cause of Death: Terrorist attack
Investigator John D. McLaughlin,"Camden County Prosecutor's Office, NJ","EOW: Thursday, April 20, 1995",Cause of Death: Gunfire
Patrolman John Frank Norcross,"Haddon Heights Police Department, NJ","EOW: Thursday, April 20, 1995",Cause of Death: Gunfire
Corporal John Novabilski,"Prince George's County Police Department, MD","EOW: Wednesday, April 26, 1995",Cause of Death: Gunfire
Agent Wilfredo Rojas-Albino,"Puerto Rico Police Department, PR","EOW: Thursday, April 27, 1995",Cause of Death: Gunfire
Sergeant Timothy Michael Mossbrucker,"Jefferson County Sheriff's Office, CO","EOW: Friday, April 28, 1995",Cause of Death: Gunfire
Lieutenant Steve M. Crerar,"Fremont County Sheriff's Office, WY","EOW: Sunday, April 30, 1995",Cause of Death: Gunfire
Captain Saxton Randall Jones,"Florida Highway Patrol, FL","EOW: Monday, May 1, 1995",Cause of Death: Gunfire (Accidental)
Deputy Dennis L. Remington,"Elmore County Sheriff's Office, ID","EOW: Wednesday, May 3, 1995",Cause of Death: Automobile accident
Patrolman Charles Ellington Nichols,"Coweta Police Department, OK","EOW: Wednesday, May 3, 1995",Cause of Death: Automobile accident
Patrolman Leroy Williams,"Tallulah Police Department, LA","EOW: Thursday, May 4, 1995",Cause of Death: Gunfire
Deputy James Mark Windsor,"Randolph County Sheriff's Department, AL","EOW: Saturday, May 6, 1995",Cause of Death: Vehicular assault
"Detective Lonnie C. Miller, Sr.","Jacksonville Sheriff's Office, FL","EOW: Saturday, May 6, 1995",Cause of Death: Gunfire
Sergeant Ippolito Gonzalez,"Franklin Township (Gloucester County) Police Department, NJ","EOW: Sunday, May 7, 1995",Cause of Death: Gunfire
Special Agent William Randall Bolt,"California Department of Justice, CA","EOW: Tuesday, May 9, 1995",Cause of Death: Automobile accident
Corrections Officer James P. Ascone,"New York State Department of Correctional Services, NY","EOW: Tuesday, May 9, 1995",Cause of Death: Heart attack
Border Patrol Agent Xavier G. Magdaleno,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Wednesday, May 10, 1995",Cause of Death: Struck by train
Police Officer Kenneth Leslie Davis,"Seattle Police Department, WA","EOW: Thursday, May 11, 1995",Cause of Death: Vehicle pursuit
Deputy Stephen Wayne Blair,"Los Angeles County Sheriff's Department, CA","EOW: Friday, May 12, 1995",Cause of Death: Gunfire
Deputy Sheriff Jimmie Richard Henry,"Los Angeles County Sheriff's Department, CA","EOW: Friday, May 12, 1995",Cause of Death: Duty related illness
Trooper Timothy Wade McDermott,"Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Sunday, May 14, 1995",Cause of Death: Automobile accident
Correctional Officer Sidney Harrison,"Mississippi Department of Corrections, MS","EOW: Thursday, May 18, 1995",Cause of Death: Automobile accident
Deputy Sheriff Chad Steven Edwards,"Fairfield County Sheriff's Office, OH","EOW: Thursday, May 18, 1995",Cause of Death: Automobile accident
Deputy Ira Wayne Bramlitt,"Jacksonville Sheriff's Office, FL","EOW: Monday, May 22, 1995",Cause of Death: Automobile accident
Police Officer Larry Don Johnson,"Sparks Police Department, NV","EOW: Monday, May 22, 1995",Cause of Death: Gunfire
Detective Danny Valenzuela,"Brea Police Department, CA","EOW: Tuesday, May 23, 1995",Cause of Death: Heart attack
"Police Officer Jerry Foster Philpot, II","Detroit Police Department, MI","EOW: Thursday, May 25, 1995",Cause of Death: Gunfire
"Patrolman Rodolfo ""Rudy"" Ledezma","Clovis Police Department, NM","EOW: Sunday, May 28, 1995",Cause of Death: Heart attack
Master Trooper Stephen H. Gray,"Louisiana State Police, LA","EOW: Monday, May 29, 1995",Cause of Death: Automobile accident
"Special Agent William H. Christian, Jr.","United States Department of Justice - Federal Bureau of Investigation, US","EOW: Monday, May 29, 1995",Cause of Death: Gunfire
Police Officer Carlos A. Santiago,"Miami Police Department, FL","EOW: Tuesday, May 30, 1995",Cause of Death: Fall
Sergeant Roscoe Teague,"Sullivan County Sheriff's Department, TN","EOW: Tuesday, May 30, 1995",Cause of Death: Heart attack
Deputy Marshal Bobby Glenn Thompson,"Montgomery Police Department, LA","EOW: Thursday, June 1, 1995",Cause of Death: Gunfire
"Patrolman Eugene J. Miglio, III","Wildwood Crest Police Department, NJ","EOW: Friday, June 2, 1995",Cause of Death: Assault
Police Officer Drew A. Bolin,"Austin Police Department, TX","EOW: Friday, June 2, 1995",Cause of Death: Vehicular assault
Trooper Chong Soo Lim,"Illinois State Police, IL","EOW: Tuesday, June 6, 1995",Cause of Death: Vehicular assault
Trooper II Marvin R. McCloud,"New Jersey State Police, NJ","EOW: Tuesday, June 6, 1995",Cause of Death: Automobile accident
Agent Louis A. Pompei,"Glendora Police Department, CA","EOW: Friday, June 9, 1995",Cause of Death: Gunfire
Deputy Sheriff Kevin M. Mayse,"Cass County Sheriff's Office, MO","EOW: Tuesday, June 13, 1995",Cause of Death: Vehicle pursuit
Special Agent Sharon Lavonne Alston,"North Carolina State Bureau of Investigation, NC","EOW: Wednesday, June 14, 1995",Cause of Death: Automobile accident
Corrections Officer Anthony L. Brown,"Nassau County Sheriff's Department, NY","EOW: Sunday, June 18, 1995",Cause of Death: Gunfire
Sergeant Holger Beck,"New York State Police, NY","EOW: Friday, June 23, 1995",Cause of Death: Bicycle accident
Patrolman Daniel David Trail,"Beloit Police Department, KS","EOW: Sunday, June 25, 1995",Cause of Death: Drowned
"Trooper Bobby L. Wells, Jr.","Mississippi Department of Public Safety - Highway Patrol, MS","EOW: Tuesday, June 27, 1995",Cause of Death: Struck by vehicle
Trooper Donald E. Jennings,"Florida Highway Patrol, FL","EOW: Friday, June 30, 1995",Cause of Death: Struck by vehicle
Police Officer Paul K. Moen,"Minneapolis Police Department, MN","EOW: Saturday, July 1, 1995",Cause of Death: Heart attack
Lieutenant Danny P. Elkins,"Yuma Police Department, AZ","EOW: Tuesday, July 4, 1995",Cause of Death: Gunfire
Sergeant Michael Lynn Crowe,"Arizona Department of Public Safety, AZ","EOW: Wednesday, July 5, 1995",Cause of Death: Gunfire
Officer Keith Stephen Konopasek,"Oakland Police Department, CA","EOW: Saturday, July 8, 1995",Cause of Death: Gunfire
Police Officer Keith Lee Evans,"Columbus Division of Police, OH","EOW: Sunday, July 9, 1995",Cause of Death: Vehicular assault
"Captain Robert F. Hopton, Jr.","Highlands County Sheriff's Office, FL","EOW: Monday, July 10, 1995",Cause of Death: Aircraft accident
Inspector James E. Rodgers,"Highlands County Sheriff's Office, FL","EOW: Monday, July 10, 1995",Cause of Death: Aircraft accident
Deputy Sheriff William Gerome Hardy,"Jefferson County Sheriff's Office, AL","EOW: Wednesday, July 19, 1995",Cause of Death: Gunfire
Deputy Antranik Geuvjehizian,"Los Angeles County Sheriff's Department, CA","EOW: Wednesday, July 19, 1995",Cause of Death: Gunfire
Officer Tate Douglas Kahakai,"Honolulu Police Department, HI","EOW: Saturday, July 22, 1995",Cause of Death: Aircraft accident
Officer Bryant Brennon Bayne,"Honolulu Police Department, HI","EOW: Saturday, July 22, 1995",Cause of Death: Aircraft accident
"Sergeant Edward E. Neves, Jr.","Taunton Police Department, MA","EOW: Tuesday, July 25, 1995",Cause of Death: Automobile accident
"Deputy Sheriff Ramiro Perez, Jr.","Brooks County Sheriff's Office, TX","EOW: Saturday, July 29, 1995",Cause of Death: Automobile accident
Officer Gregory Bryan Gay,"Elba Police Department, AL","EOW: Monday, July 31, 1995",Cause of Death: Automobile accident
Police Officer Kevin Williams,"Philadelphia Police Department, PA","EOW: Monday, July 31, 1995",Cause of Death: Automobile accident
Patrolman Lee E. Barta,"Binghamton Police Department, NY","EOW: Thursday, August 3, 1995",Cause of Death: Gunfire
Officer Michael Frederick Clark,"Simi Valley Police Department, CA","EOW: Friday, August 4, 1995",Cause of Death: Gunfire
Police Officer Denise Holden,"Raleigh Police Department, NC","EOW: Friday, August 4, 1995",Cause of Death: Automobile accident
Sergeant Ronald Charles Cheek,"Oglethorpe County Sheriff's Office, GA","EOW: Saturday, August 5, 1995",Cause of Death: Gunfire
Deputy James Robert Allman,"Dallas County Sheriff's Department, TX","EOW: Saturday, August 5, 1995",Cause of Death: Automobile accident
Chief of Police Doyle Lee Holstein,"Ola Police Department, AR","EOW: Sunday, August 6, 1995",Cause of Death: Gunfire
Sergeant Timothy J. Henck,"Suffolk County Police Department, NY","EOW: Sunday, August 6, 1995",Cause of Death: Vehicular assault
"Deputy Sheriff Charles Andrew Brososky, Sr.","Monroe County Sheriff's Department, MI","EOW: Monday, August 7, 1995",Cause of Death: Heart attack
Officer Robert K. Martin,"Arizona Department of Public Safety, AZ","EOW: Tuesday, August 15, 1995",Cause of Death: Gunfire
"Lieutenant Herbert Berkeley Stovall, Jr.","Peralta Community College District Police Department, CA","EOW: Wednesday, August 16, 1995",Cause of Death: Gunfire
Border Patrol Agent Lawrence B. Pierce,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Thursday, August 17, 1995",Cause of Death: Stabbed
Corporal Michael Rush Carrithers,"Louisville Housing Authority Police Department, KY","EOW: Thursday, August 17, 1995",Cause of Death: Automobile accident
"Officer James B. Wilson, Jr.","Omaha Police Department, NE","EOW: Sunday, August 20, 1995",Cause of Death: Gunfire
Officer Gilbert Manglona Taisacan,"Northern Mariana Islands Police Department, MP","EOW: Monday, August 21, 1995",Cause of Death: Gunfire
Deputy Charles Barton,"Loudoun County Sheriff's Office, VA","EOW: Tuesday, August 22, 1995",Cause of Death: Aircraft accident
Police Officer Lindora Renee Smith,"Detroit Police Department, MI","EOW: Saturday, August 26, 1995",Cause of Death: Vehicle pursuit
Sergeant Earl Lavelle White,"Detroit Police Department, MI","EOW: Saturday, August 26, 1995",Cause of Death: Vehicle pursuit
Deputy Edwardo M. Gonzales,"Maricopa County Sheriff's Office, AZ","EOW: Monday, August 28, 1995",Cause of Death: Vehicle pursuit
Deputy Bobby Joe McCrary,"Rankin County Sheriff's Department, MS","EOW: Monday, August 28, 1995",Cause of Death: Stabbed
Investigator Michael Grant Miller,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Monday, August 28, 1995",Cause of Death: Aircraft accident
Patrolman Michael Corey McInnis,"San Antonio Police Department, TX","EOW: Monday, August 28, 1995",Cause of Death: Vehicle pursuit
Patrolman George T. Bowman,"Pennsauken Police Department, NJ","EOW: Sunday, September 3, 1995",Cause of Death: Heart attack
Master Trooper Dean Allen Goodheart,"Kansas Highway Patrol, KS","EOW: Wednesday, September 6, 1995",Cause of Death: Struck by vehicle
Officer Melvin Alan Keddy,"East Kingston Police Department, NH","EOW: Thursday, September 7, 1995",Cause of Death: Vehicular assault
Major Edward Kaye Don Humphrey,"Jupiter Police Department, FL","EOW: Friday, September 8, 1995",Cause of Death: Heart attack
"Deputy Sheriff Clendon Paul West, Sr.","Johnston County Sheriff's Office, NC","EOW: Monday, September 11, 1995",Cause of Death: Gunfire
Deputy Sheriff Russell Dean Roberts,"San Bernardino County Sheriff's Department, CA","EOW: Saturday, September 16, 1995",Cause of Death: Struck by vehicle
Police Officer James M. O'Connor,"Chicago Police Department, IL","EOW: Saturday, September 16, 1995",Cause of Death: Gunfire
Deputy Sheriff Billy Joe Thrower,"Madison County Sheriff's Office, AL","EOW: Sunday, September 17, 1995",Cause of Death: Gunfire
Police Officer Hector Luis Calderon-Romero,"Carolina Municipal Police Department, PR","EOW: Sunday, September 17, 1995",Cause of Death: Gunfire
"Sergeant James Henry ""Rip"" Taylor, Jr.","Pittsburgh Police Department, PA","EOW: Friday, September 22, 1995",Cause of Death: Gunfire
"Deputy Sheriff Jerry Newson, Jr.","Davidson County Sheriff's Office, TN","EOW: Friday, September 22, 1995",Cause of Death: Gunfire
Police Officer David A. Willis,"New York City Police Department, NY","EOW: Monday, September 25, 1995",Cause of Death: Automobile accident
Sergeant Ricky Dale Coyle,"Greene County Sheriff's Department, TN","EOW: Monday, September 25, 1995",Cause of Death: Gunfire
Deputy II Kenneth Ray Blair,"Maricopa County Sheriff's Office, AZ","EOW: Thursday, September 28, 1995",Cause of Death: Gunfire
Officer Bruce Thomas Hinman,"California Highway Patrol, CA","EOW: Tuesday, October 3, 1995",Cause of Death: Vehicular assault
Sheriff Lloyd Silas Jones,"Simpson County Sheriff's Department, MS","EOW: Wednesday, October 4, 1995",Cause of Death: Gunfire
Officer Scot Shaffer Lewis,"Metropolitan Police Department, DC","EOW: Monday, October 9, 1995",Cause of Death: Gunfire
Patrolman Gary L. Twyman,"Lynn Police Department, MA","EOW: Monday, October 9, 1995",Cause of Death: Stabbed
Corporal Ronald Rexford Beatty,"Larimer County Sheriff's Office, CO","EOW: Tuesday, October 10, 1995",Cause of Death: Heart attack
Patrolman Tony Ray Patterson,"Topeka Police Department, KS","EOW: Thursday, October 12, 1995",Cause of Death: Gunfire
Deputy Brent Andrew Holloway,"Teller County Sheriff's Office, CO","EOW: Monday, October 16, 1995",Cause of Death: Gunfire
Deputy Sheriff John Bananola,"Pierce County Sheriff's Department, WA","EOW: Monday, October 16, 1995",Cause of Death: Gunfire
Trooper First Class Edward Plank,"Maryland State Police, MD","EOW: Tuesday, October 17, 1995",Cause of Death: Gunfire
Deputy Sheriff Joseph Lewis Latimer,"Cotton County Sheriff's Office, OK","EOW: Thursday, October 19, 1995",Cause of Death: Automobile accident
Trooper Joseph Thomas Lanzi,"Maryland State Police, MD","EOW: Saturday, October 28, 1995",Cause of Death: Automobile accident
Chief of Police Donald E. Rhodes,"Quapaw Police Department, OK","EOW: Saturday, October 28, 1995",Cause of Death: Heart attack
